,AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX,predicted,actual,error
2723,23.609,1012.7,76.649,4.8535,30.237,1100.1,537.7,150.16,13.285,1.9714,66.331,150.22514,150.16,0.06514343261719091
2724,22.249,1013.0,81.911,4.8186,30.196,1100.4,537.76,150.61,13.426,1.5118,64.831,150.78479,150.61,0.17479003906248636
2725,21.516,1013.1,76.875,4.7923,30.571,1100.1,536.38,151.81,13.384,0.73298,64.961,151.79974,151.81,-0.010256347656252274
2726,20.939,1013.5,83.041,4.88,30.447,1100.1,536.73,151.99,13.4,1.1398,64.56,151.60979,151.99,-0.3802130126953216
2727,20.604,1013.8,84.516,4.9624,30.983,1100.0,535.07,153.24,13.488,0.93224,64.124,152.64168,153.24,-0.5983221435546966
2728,19.725,1013.8,88.443,4.7568,28.277,1079.4,531.71,140.49,12.79,34.111,64.299,139.24478,140.49,-1.245218505859384
2729,20.804,1012.9,90.094,4.3876,25.417,1077.3,542.1,130.52,12.035,0.23078,62.883,130.52072,130.52,0.0007214355468647682
2730,18.938,1012.6,94.721,4.7923,26.128,1085.0,544.55,135.51,12.204,1.6093,61.162,135.16489,135.51,-0.3451135253906159
2731,18.623,1012.4,94.568,3.8872,20.903,1063.5,550.06,115.9,10.819,3.1771,60.092,115.41383,115.9,-0.4861663818359432
2732,18.557,1012.4,92.269,3.5571,19.429,1055.0,549.96,109.74,10.39,4.2468,60.571,109.46524,109.74,-0.2747595214843699
2733,18.113,1012.7,92.756,3.571,19.36,1054.8,550.01,109.74,10.409,4.1172,60.878,109.41098,109.74,-0.3290197753906199
2734,18.179,1013.1,94.659,3.581,19.377,1055.3,550.04,109.72,10.422,4.4172,61.118,109.68103,109.72,-0.03896972656249886
2735,18.81,1013.6,95.618,3.5607,19.571,1055.7,549.92,109.73,10.441,4.9278,60.193,109.85188,109.73,0.12188293457030852
2736,21.084,1014.2,91.743,3.8364,22.153,1071.1,550.01,120.33,11.159,2.0149,59.981,119.92172,120.33,-0.4082775878906233
2737,22.592,1014.9,79.538,4.0963,25.14,1088.5,550.2,132.7,11.893,0.68165,66.819,132.47626,132.7,-0.22374267578123863
2738,23.942,1015.1,74.981,4.0953,25.283,1089.2,550.32,132.71,11.93,1.2129,66.877,132.50896,132.71,-0.20104309082032046
2739,25.419,1015.7,68.574,4.068,25.363,1089.3,550.37,132.73,11.966,1.9821,67.235,132.18167,132.73,-0.5483288574218648
2740,26.011,1016.0,64.42,4.1201,25.398,1089.9,550.01,132.73,12.002,1.8049,67.872,132.3584,132.73,-0.37160156249998977
2741,26.836,1016.2,58.706,4.1304,25.455,1090.5,550.15,132.74,12.038,1.6734,67.14,132.32025,132.74,-0.4197485351562591
2742,27.996,1016.0,55.968,4.1534,25.492,1091.0,550.17,132.75,12.075,1.4283,67.408,132.242,132.75,-0.50799560546875
2743,28.735,1015.8,53.951,4.1656,25.597,1091.3,550.32,132.74,12.111,1.2438,67.244,132.17282,132.74,-0.5671789550781341
2744,28.999,1015.6,50.137,4.148,25.702,1091.6,550.32,132.75,12.142,1.6888,70.549,132.41266,132.75,-0.33734130859375
2745,29.225,1015.4,47.186,4.1607,25.743,1091.7,550.01,132.72,12.146,1.1039,70.37,132.46796,132.72,-0.25204345703124886
2746,29.075,1015.4,49.875,3.626,22.189,1071.0,549.88,118.22,11.176,2.0762,61.083,117.464935,118.22,-0.7550646972656239
2747,27.437,1015.4,68.744,4.0192,25.472,1090.4,549.7,132.85,12.045,1.7041,63.989,132.28233,132.85,-0.5676666259765568
2748,25.364,1015.4,80.751,4.1475,25.445,1090.1,550.34,133.17,12.043,0.03028,57.8,132.39941,133.17,-0.7705859374999875
2749,24.478,1015.9,84.77,4.1906,25.242,1089.0,549.93,132.74,12.036,0.08278,56.616,132.1413,132.74,-0.5987036132812591
2750,24.023,1016.3,84.563,4.1822,25.156,1088.7,550.22,132.73,12.07,1.1512,58.714,131.9815,132.73,-0.7484936523437398
2751,22.326,1016.1,85.686,4.1912,24.933,1088.0,550.12,132.74,12.105,1.6749,64.257,132.04247,132.74,-0.6975347900390716
2752,20.752,1015.9,87.768,3.7207,21.627,1068.3,549.82,118.72,10.995,3.1193,62.135,117.88808,118.72,-0.8319232177734364
2753,19.7,1015.6,89.328,3.4004,19.323,1054.4,549.82,109.01,10.343,4.5663,64.94,108.66907,109.01,-0.3409326171875051
2754,19.047,1015.3,91.091,3.5156,19.569,1056.1,549.96,110.43,10.424,5.4817,64.228,109.96039,110.43,-0.4696118164062568
2755,18.487,1015.4,92.56,3.5752,19.709,1057.0,550.07,111.05,10.491,4.4569,61.807,110.71216,111.05,-0.33784179687499716
2756,18.308,1015.0,93.336,3.57,19.631,1056.5,550.17,110.8,10.488,4.5055,62.89,110.45644,110.8,-0.3435562133789034
2757,17.842,1015.1,93.818,3.6905,19.595,1056.2,550.05,110.8,10.457,3.9935,61.857,110.378296,110.8,-0.42170410156249716
2758,17.868,1015.2,94.674,3.6161,19.66,1056.7,550.02,110.78,10.471,3.955,61.843,110.749985,110.78,-0.030015258789063637
2759,18.496,1015.6,94.987,3.5213,19.751,1057.1,549.98,110.76,10.5,3.9173,59.91,110.82437,110.76,0.06437133789061988
2760,20.612,1015.7,92.246,3.3437,19.778,1056.7,550.08,109.54,10.506,3.7824,58.6,110.002106,109.54,0.46210571289061875
2761,23.328,1015.8,78.284,3.7024,22.888,1074.7,550.06,122.21,11.4,2.5627,64.705,122.02238,122.21,-0.1876229858398375
2762,24.836,1015.9,78.078,4.0439,25.367,1089.8,550.26,132.77,12.077,2.3014,67.988,132.73947,132.77,-0.030528564453135232
2763,26.564,1016.0,71.649,4.0418,25.456,1090.1,549.83,132.77,12.108,0.55772,64.338,132.4706,132.77,-0.29940368652344773
2764,27.094,1015.7,68.015,4.0844,25.584,1090.9,549.99,132.79,12.179,0.28575,65.057,132.77365,132.79,-0.016348876953117042
2765,27.876,1015.4,64.666,4.1124,25.693,1091.2,549.99,132.79,12.25,0.19436,65.149,132.73897,132.79,-0.05103210449217954
2766,28.399,1015.0,54.593,4.1481,25.908,1092.4,550.32,133.19,12.242,1.1211,70.668,133.16522,133.19,-0.024777832031247726
2767,28.695,1014.3,48.592,4.1083,25.902,1091.6,549.87,132.79,12.097,1.1269,71.934,132.86128,132.79,0.07128234863282046
2768,29.141,1013.6,46.632,3.5748,21.835,1067.9,550.15,115.42,11.044,2.1105,60.982,115.269066,115.42,-0.15093414306640796
2769,30.64,1013.5,42.986,3.39,20.335,1059.4,550.0,109.15,10.649,2.6533,56.767,109.29446,109.15,0.14445648193358807
2770,30.098,1013.7,46.717,3.2996,20.18,1058.3,550.06,108.83,10.57,3.3299,56.315,108.636024,108.83,-0.19397552490234204
2771,28.843,1013.6,49.641,3.3532,20.29,1058.8,550.07,109.35,10.536,3.4619,56.556,109.24487,109.35,-0.10512695312499432
2772,27.692,1013.6,56.653,3.9943,25.552,1089.0,549.58,132.1,12.049,1.5493,69.256,131.88057,132.1,-0.21943054199218182
2773,25.4,1013.8,65.634,3.9716,25.592,1090.6,549.55,133.82,12.149,1.2185,68.841,133.46591,133.82,-0.3540881347656182
2774,23.483,1013.7,71.341,3.9335,25.212,1089.0,549.89,133.32,12.041,1.295,67.617,132.91666,133.32,-0.4033435058593682
2775,21.587,1013.3,77.982,3.4992,21.78,1068.4,549.89,118.85,11.064,4.523,67.281,118.163086,118.85,-0.6869140624999943
2776,20.28,1013.0,82.061,3.2302,19.281,1054.2,549.94,108.74,10.454,4.7321,60.509,108.311356,108.74,-0.4286444091796824
2777,19.562,1012.6,83.672,3.2408,19.239,1054.4,549.95,109.0,10.349,5.058,63.381,108.67716,109.0,-0.32283782958984375
2778,18.945,1012.3,84.695,3.2776,19.496,1055.3,549.94,109.89,10.469,3.2745,61.352,109.77751,109.89,-0.11248840332031307
2779,18.379,1011.6,86.082,3.2486,19.143,1053.6,549.88,108.81,10.408,2.776,61.165,108.84105,108.81,0.031049194335935226
2780,18.091,1011.3,87.271,3.2955,19.293,1054.5,550.05,109.65,10.396,2.7034,61.107,109.54453,109.65,-0.10546722412109943
2781,17.899,1011.3,88.417,3.2827,19.314,1054.9,549.97,109.8,10.406,4.0753,63.709,109.70463,109.8,-0.09537200927734091
2782,18.054,1011.2,88.456,3.3321,19.444,1055.1,549.97,109.8,10.421,4.2308,63.924,109.85562,109.8,0.05562133789062784
2783,18.95,1011.3,89.782,3.4403,20.091,1058.3,550.01,111.67,10.587,4.0896,61.514,111.84956,111.67,0.1795635986328108
2784,21.347,1011.4,85.741,4.1175,25.336,1088.7,549.82,132.78,12.001,0.67551,67.084,133.34007,132.78,0.5600726318359364
2785,23.673,1011.4,73.914,4.0777,25.411,1089.3,550.04,132.42,12.036,0.2157,67.559,133.05727,132.42,0.637266235351575
2786,25.197,1011.3,69.995,4.1081,25.543,1089.7,549.63,132.81,12.104,0.47548,68.19,132.95085,132.81,0.14085144042968523
2787,27.159,1011.2,67.381,4.1283,25.571,1090.0,550.36,132.84,12.155,1.0225,65.851,132.36287,132.84,-0.4771307373046909
2788,27.705,1010.9,68.57,4.1409,25.638,1090.3,550.4,132.83,12.206,0.97711,64.663,132.36922,132.83,-0.4607830810547
2789,28.007,1010.7,66.784,4.158,25.723,1090.4,550.37,132.83,12.257,0.82562,64.727,132.38936,132.83,-0.4406414794922
2790,28.751,1010.2,50.812,4.1911,26.081,1092.1,549.86,133.12,12.319,1.1823,71.098,133.31723,133.12,0.19723022460937045
2791,29.631,1009.4,41.514,4.2212,26.258,1093.1,550.29,133.29,12.348,1.1765,73.819,133.35162,133.29,0.06162353515625796
2792,30.511,1009.1,39.504,4.1732,25.745,1090.1,549.75,130.8,12.039,1.2292,71.991,131.75934,130.8,0.9593383789062386
2793,30.609,1008.8,35.563,4.2068,26.487,1093.4,549.32,133.66,12.171,2.2005,77.042,133.25517,133.66,-0.4048272705078091
2794,29.641,1008.6,41.592,4.1532,26.05,1092.2,550.38,132.84,12.072,1.4876,73.422,132.89629,132.84,0.05628601074218409
2795,28.083,1008.5,60.498,4.0995,25.762,1091.0,549.81,132.84,12.07,1.4764,66.036,132.82683,132.84,-0.01317199707031591
2796,26.463,1008.4,71.347,4.0471,25.644,1090.2,550.28,132.86,12.073,1.5957,63.801,132.85983,132.86,-0.00016723632813864242
2797,25.557,1008.5,75.096,4.0076,25.45,1088.7,549.87,132.86,12.024,1.6512,62.886,132.22215,132.86,-0.6378472900390761
2798,24.164,1008.4,66.243,3.9652,25.279,1088.3,549.96,132.83,11.983,1.6573,69.306,132.51205,132.83,-0.3179455566406375
2799,22.488,1007.9,72.107,3.9023,25.101,1087.4,550.21,132.83,11.98,1.1462,65.33,132.35658,132.83,-0.47341735839845
2800,21.359,1007.5,79.05,3.8211,23.953,1080.8,549.69,128.1,11.658,0.57523,61.447,127.954575,128.1,-0.14542541503905682
2801,20.313,1007.2,82.601,3.2866,19.725,1055.8,550.07,110.13,10.451,2.4747,56.923,110.0648,110.13,-0.0652035522460892
2802,19.53,1006.7,84.611,3.2958,19.716,1055.7,549.91,110.31,10.547,3.4566,60.293,110.27168,110.31,-0.038317260742189774
2803,19.007,1006.2,85.381,3.3197,19.634,1055.4,550.03,110.09,10.38,4.0548,61.14,110.01094,110.09,-0.07905944824219091
2804,18.727,1005.8,85.997,3.3213,19.628,1055.1,550.01,110.1,10.36,4.6724,62.828,109.87346,110.1,-0.22654113769530682
2805,18.542,1006.0,86.707,3.2948,19.571,1054.8,550.1,109.82,10.325,4.2171,61.777,109.665344,109.82,-0.15465576171874318
2806,18.516,1006.0,87.482,3.3294,19.592,1054.9,550.1,109.82,10.288,4.3306,63.494,109.76344,109.82,-0.05655700683593068
2807,19.322,1005.9,87.546,3.5645,21.539,1065.9,550.1,117.53,10.883,3.3155,64.838,117.42357,117.53,-0.10643127441406364
2808,21.966,1006.1,85.411,4.1464,26.238,1092.8,550.02,136.09,12.211,1.6551,71.548,135.89273,136.09,-0.1972692871093784
2809,24.296,1006.1,84.893,4.8189,30.657,1099.8,539.27,148.68,13.286,1.4048,63.976,149.01265,148.68,0.3326495361328057
2810,25.778,1006.1,81.207,4.7696,30.059,1100.0,541.28,147.59,13.171,1.3768,64.352,146.95607,147.59,-0.6339300537109409
2811,27.807,1006.0,67.628,4.7614,30.168,1100.0,540.56,148.32,13.195,1.3414,63.108,147.74617,148.32,-0.5738299560546807
2812,28.79,1006.1,62.977,4.7418,29.885,1100.0,541.75,148.08,13.13,1.8251,64.866,147.05598,148.08,-1.0240155029297
2813,28.945,1005.8,58.03,4.8053,30.407,1099.7,540.08,149.27,13.227,1.4235,63.919,148.15419,149.27,-1.1158099365234477
2814,29.144,1005.3,66.452,4.6705,29.803,1100.0,542.52,147.52,13.13,0.5565,59.721,146.08128,147.52,-1.4387164306640727
2815,28.79,1003.9,67.523,4.065,25.627,1087.7,549.22,131.56,12.035,1.2121,60.739,130.75319,131.56,-0.8068109130859398
2816,28.857,1003.6,70.975,4.0742,25.472,1088.4,550.13,131.06,11.975,1.3857,60.264,131.14548,131.06,0.08547729492187273
2817,28.426,1003.8,69.901,4.0871,25.497,1087.9,550.42,131.37,11.975,1.3484,61.189,130.89186,131.37,-0.47813903808594205
2818,27.083,1004.0,75.747,4.032,25.46,1088.1,550.28,131.79,11.995,1.648,61.765,131.60765,131.79,-0.18234924316405454
2819,25.866,1004.5,78.179,4.0312,25.584,1088.8,549.73,132.87,12.112,2.1759,64.31,132.62308,132.87,-0.24692260742187955
2820,25.257,1004.7,65.374,4.04,25.655,1090.4,550.34,133.79,12.133,1.6488,71.593,133.63438,133.79,-0.15561584472655454
2821,24.787,1004.6,55.903,3.9412,25.309,1088.8,550.01,132.86,12.039,1.4949,71.77,132.93028,132.86,0.07028259277342386
2822,23.779,1004.7,59.477,3.9402,25.238,1088.8,550.36,133.18,12.085,1.6225,71.296,133.09804,133.18,-0.08196228027344432
2823,22.755,1004.7,66.04,3.932,25.191,1088.7,550.19,133.38,11.995,1.4291,69.73,133.36737,133.38,-0.012629394531245453
2824,21.83,1004.5,75.774,3.7307,23.845,1081.0,549.85,128.12,11.613,1.826,65.525,127.878784,128.12,-0.24121582031250455
2825,20.647,1004.2,83.046,3.2945,19.508,1055.4,550.12,109.85,10.424,4.4267,60.295,109.50418,109.85,-0.3458190917968693
2826,20.176,1003.9,85.446,3.3183,19.552,1055.4,549.95,109.84,10.386,3.9513,59.249,109.79043,109.84,-0.04957183837890966
2827,20.062,1004.1,86.087,3.2695,19.533,1055.3,550.13,109.82,10.342,4.1192,59.631,109.64894,109.82,-0.17105895996093068
2828,20.107,1004.6,86.397,3.3376,19.683,1055.5,550.06,109.82,10.299,4.0572,59.371,109.819435,109.82,-0.0005648803710869288
2829,20.929,1005.4,85.252,3.9048,24.22,1082.2,550.11,129.1,11.773,2.0139,65.972,128.82718,129.1,-0.2728210449218693
2830,22.272,1005.6,78.141,4.3116,27.735,1098.8,548.26,142.23,12.602,1.2463,73.521,142.77394,142.23,0.5439410400390727
2831,23.281,1005.7,73.603,4.0626,25.848,1091.4,549.91,135.11,12.22,1.7538,70.983,134.74841,135.11,-0.36158691406251364
2832,23.959,1006.2,72.617,4.21,26.442,1094.8,549.7,137.74,12.366,1.6059,73.692,137.10303,137.74,-0.6369726562500091
2833,24.695,1006.2,65.364,4.7607,30.85,1099.8,537.74,151.08,13.307,1.2864,66.227,150.49622,151.08,-0.5837841796875125
2834,25.548,1006.0,60.058,4.7389,30.724,1100.0,538.57,150.92,13.374,1.137,66.09,149.79591,150.92,-1.124086303710925
2835,26.513,1005.9,53.937,4.6983,30.389,1100.2,540.11,148.86,13.272,1.174,69.761,148.3463,148.86,-0.5137017822265761
2836,27.582,1005.6,57.353,4.2849,26.436,1093.5,549.08,136.29,12.275,2.0102,72.568,134.68686,136.29,-1.603140869140617
2837,28.016,1005.6,53.676,4.3444,26.773,1096.5,550.03,137.41,12.444,1.249,72.919,136.74323,137.41,-0.6667749023437466
2838,27.529,1005.7,56.204,4.3337,27.196,1098.6,550.33,139.42,12.454,0.34565,72.718,138.84822,139.42,-0.571779174804675
2839,25.287,1006.1,67.488,4.2514,27.017,1097.7,550.26,139.45,12.311,0.72753,68.835,138.69067,139.45,-0.7593261718749886
2840,23.575,1006.0,79.354,4.0251,25.272,1088.6,550.24,132.9,12.011,1.631,62.369,132.86969,132.9,-0.030310058593755684
2841,22.949,1006.2,84.94,4.0872,25.196,1088.0,550.17,132.82,11.958,1.6575,61.891,132.64555,132.82,-0.17444641113280568
2842,22.553,1006.5,85.574,4.0765,25.281,1088.2,550.27,133.22,11.922,1.7253,62.94,132.91057,133.22,-0.30943176269531136
2843,22.137,1006.9,86.682,4.1377,25.358,1088.5,549.96,133.84,11.886,1.6704,64.159,133.24037,133.84,-0.5996282958984409
2844,21.69,1007.4,85.548,4.1409,25.132,1088.4,549.99,133.77,11.85,1.5477,64.037,133.12329,133.77,-0.6467089843750102
2845,21.157,1007.5,89.142,4.1679,25.053,1087.8,549.82,133.31,11.854,1.7709,64.179,132.91069,133.31,-0.3993096923828148
2846,21.128,1007.8,90.451,4.2018,25.198,1088.1,550.04,133.7,11.985,1.7858,65.007,133.1709,133.7,-0.5291015624999886
2847,20.946,1008.1,89.404,4.2436,25.216,1088.8,550.38,134.08,12.029,1.9915,66.925,133.51985,134.08,-0.5601483154297
2848,20.641,1008.3,88.531,4.1504,25.139,1088.3,550.3,133.74,12.03,1.8005,66.412,133.35196,133.74,-0.3880407714843841
2849,20.062,1008.7,88.418,3.5368,20.571,1061.8,549.94,114.72,10.76,3.4717,61.2,114.07707,114.72,-0.6429278564453114
2850,19.254,1009.1,89.853,3.4272,19.55,1055.8,549.86,110.48,10.458,3.9859,61.367,110.11344,110.48,-0.36655853271484773
2851,18.819,1009.6,90.903,3.3963,19.424,1055.3,550.01,109.86,10.396,4.0714,61.352,109.75368,109.86,-0.10632263183593693
2852,18.679,1010.0,86.797,3.3153,19.424,1055.3,550.07,109.79,10.332,3.9442,62.089,109.72021,109.79,-0.0697927856445375
2853,18.787,1010.4,85.233,3.3383,19.829,1057.5,549.99,111.49,10.503,3.9362,64.425,111.366776,111.49,-0.12322448730468238
2854,20.096,1010.8,76.976,3.937,24.966,1087.2,550.28,132.71,11.908,1.6963,71.805,132.84349,132.71,0.13349060058592954
2855,21.694,1010.9,65.059,4.0183,25.369,1089.0,549.9,133.77,12.027,1.511,74.806,133.69327,133.77,-0.07673217773438523
2856,22.887,1011.0,62.748,4.0578,25.354,1089.3,549.68,133.78,12.053,1.3843,74.521,133.53397,133.78,-0.24603393554687614
2857,24.332,1011.2,58.903,4.0976,25.401,1089.5,549.61,133.79,12.079,1.5862,73.62,133.20854,133.79,-0.5814581298828045
2858,25.685,1011.2,54.896,4.1169,25.407,1090.3,549.69,133.79,12.098,1.6161,71.922,133.10382,133.79,-0.686179199218742
2859,26.009,1011.1,53.686,4.1462,25.456,1090.8,549.59,133.8,12.104,1.6483,71.933,133.22504,133.8,-0.5749633789062614
2860,26.51,1011.0,52.213,4.1441,25.505,1090.7,549.95,133.8,12.111,1.7023,72.12,133.01958,133.8,-0.7804229736328239
2861,26.842,1010.8,51.031,4.1678,25.601,1091.1,550.09,133.81,12.188,1.4873,72.055,133.1057,133.81,-0.7043023681640648
2862,26.896,1010.7,50.195,4.1389,25.717,1091.6,550.19,134.06,12.139,1.4511,72.529,133.32837,134.06,-0.7316308593750023
2863,26.382,1010.7,52.663,4.1156,25.597,1091.1,550.04,133.81,12.124,1.4851,70.768,133.232,133.81,-0.5780053710937523
2864,26.004,1011.0,55.635,4.1042,25.563,1090.8,550.13,133.81,12.11,1.6651,70.574,133.18622,133.81,-0.6237817382812523
2865,25.363,1011.1,58.201,4.0762,25.54,1090.6,549.91,133.81,12.107,1.6478,70.339,133.32755,133.81,-0.4824548339843773
2866,24.698,1011.3,60.548,4.0682,25.484,1090.3,549.85,133.8,12.082,1.6203,71.069,133.38272,133.8,-0.41727905273438637
2867,23.428,1011.7,60.602,4.0307,25.396,1089.8,549.84,133.79,12.053,1.2552,70.648,133.48553,133.79,-0.30446533203124204
2868,22.141,1012.0,65.164,3.9689,25.206,1089.0,549.83,133.77,12.024,1.2373,68.294,133.34024,133.77,-0.42975952148438523
2869,21.035,1012.0,69.665,3.8844,24.857,1086.8,550.26,132.67,11.932,1.4912,66.012,132.05415,132.67,-0.615846557617175
2870,19.785,1011.9,72.751,3.8919,24.844,1087.1,549.99,133.43,11.934,1.6923,70.905,132.82016,133.43,-0.6098400878906318
2871,18.193,1011.7,79.45,3.9308,24.549,1085.4,549.65,132.9,11.853,2.1048,70.731,132.02902,132.9,-0.8709777832031307
2872,17.244,1011.6,83.817,3.479,20.591,1062.1,549.78,115.6,10.771,3.9394,72.796,115.1478,115.6,-0.4522033691406193
2873,16.671,1011.5,86.111,3.3447,19.354,1054.9,550.03,110.48,10.43,4.5055,68.058,110.103485,110.48,-0.376514892578129
2874,16.159,1011.7,87.774,3.3504,19.21,1053.9,550.13,109.81,10.355,4.4574,67.992,109.46112,109.81,-0.3488793945312523
2875,15.989,1012.0,88.643,3.3445,19.14,1054.0,550.02,109.8,10.366,4.5804,68.577,109.55426,109.8,-0.24573974609374716
2876,16.023,1012.3,89.193,3.2949,19.156,1054.2,549.98,109.79,10.436,4.1817,66.864,109.746574,109.79,-0.0434255981445375
2877,17.081,1012.7,89.77,3.8119,22.953,1075.9,549.94,125.2,11.465,2.4576,68.458,125.306564,125.2,0.10656433105468466
2878,19.72,1013.1,84.469,4.0206,25.107,1087.9,550.37,132.78,11.983,1.9353,69.951,133.17422,132.78,0.39422485351562386
2879,22.278,1013.4,77.542,4.0909,25.244,1089.0,550.15,132.79,12.023,2.0529,70.2,133.0918,132.79,0.30179687500000796
2880,23.66,1013.7,71.563,4.0693,25.272,1089.3,549.77,132.82,12.05,1.9061,70.733,132.97598,132.82,0.15598266601563182
2881,25.118,1014.0,69.329,4.0571,25.321,1089.9,549.74,132.83,12.066,1.9215,70.469,132.92087,132.83,0.0908679199218625
2882,26.398,1014.0,57.729,4.1284,25.419,1090.1,549.63,132.82,12.079,1.4671,70.41,132.77716,132.82,-0.04283935546874318
2883,27.863,1014.0,47.908,4.2019,25.396,1090.8,550.16,132.84,12.093,1.4036,71.699,132.41359,132.84,-0.4264105224609409
2884,28.533,1013.9,46.134,4.1766,25.481,1090.3,550.05,132.83,12.107,1.2471,70.766,132.04272,132.83,-0.7872753906250125
2885,29.026,1013.8,44.862,4.1638,25.562,1090.5,549.87,132.83,12.12,1.367,70.578,132.04362,132.83,-0.786375122070325
2886,28.856,1013.6,45.939,4.1699,25.612,1091.0,550.12,132.84,12.11,1.3841,71.1,132.31395,132.84,-0.5260504150390659
2887,29.014,1013.4,46.721,4.1635,25.646,1090.9,549.99,132.82,12.117,1.4841,69.164,132.20067,132.82,-0.6193316650390557
2888,29.036,1013.4,46.049,4.1492,25.69,1090.8,549.92,132.84,12.126,1.1726,70.925,132.31467,132.84,-0.5253332519531284
2889,27.923,1013.4,48.417,4.1235,25.858,1091.8,550.05,133.65,12.225,1.1489,70.196,133.12569,133.65,-0.5243133544921932
2890,26.083,1013.6,55.012,4.0427,25.523,1090.3,549.71,132.79,12.12,1.3909,67.567,132.96088,132.79,0.17087646484375796
2891,24.749,1014.0,62.392,3.9805,25.352,1089.6,549.64,133.06,12.156,1.4332,67.064,133.02286,133.06,-0.037142333984377274
2892,23.746,1014.4,64.216,4.0029,25.479,1090.5,549.63,133.8,12.2,1.4882,68.694,133.7767,133.8,-0.02329711914063637
2893,23.125,1014.4,62.852,4.0256,25.487,1090.4,550.09,134.17,12.22,1.376,70.686,133.8382,134.17,-0.3318041992187375
2894,22.313,1014.4,64.225,3.9822,25.396,1090.1,550.17,134.21,12.217,1.6324,70.049,133.87148,134.21,-0.33852478027344546
2895,21.359,1014.2,67.09,3.8848,24.952,1087.9,549.81,133.15,11.992,1.9424,68.789,132.86101,133.15,-0.2889923095703182
2896,19.792,1014.0,72.932,3.3389,20.666,1062.5,549.97,115.16,10.831,3.4647,63.259,114.43091,115.16,-0.7290917968749966
2897,18.523,1013.8,79.006,3.2007,19.4,1055.4,550.12,110.22,10.425,3.9901,62.641,109.69768,110.22,-0.5223223876953114
2898,17.824,1013.8,82.384,3.2551,19.439,1055.5,549.98,110.33,10.389,4.1052,63.684,110.01382,110.33,-0.31618316650390454
2899,17.3,1014.0,83.883,3.2938,19.468,1056.0,549.94,110.8,10.461,3.9838,64.111,110.55521,110.8,-0.24479370117187216
2900,17.387,1014.1,85.509,3.2764,19.573,1056.3,550.2,110.8,10.464,4.6979,64.227,110.60011,110.8,-0.19988708496093466
2901,18.882,1014.6,88.806,3.3146,19.859,1057.3,549.89,110.69,10.509,4.2858,59.947,110.97147,110.69,0.2814736938476585
2902,21.314,1015.1,85.914,4.0739,25.246,1089.1,549.83,133.13,11.913,1.9352,67.299,133.27553,133.13,0.14552795410156705
2903,22.66,1015.0,80.439,4.1128,25.438,1090.3,550.04,133.49,12.055,1.7537,66.042,133.54883,133.49,0.058828124999990905
2904,24.182,1015.0,73.967,4.2679,26.743,1097.2,550.16,138.49,12.34,1.3719,72.114,137.94926,138.49,-0.5407354736328216
2905,26.337,1015.0,64.876,4.0828,25.555,1090.9,550.19,133.15,12.104,1.6801,68.588,133.03262,133.15,-0.11737670898438068
2906,27.515,1015.0,59.21,4.1429,25.745,1091.3,550.34,133.31,12.097,1.5659,67.881,132.74452,133.31,-0.5654779052734398
2907,28.402,1014.7,55.447,4.1636,25.838,1091.6,549.98,133.12,12.115,1.9286,68.455,132.7011,133.12,-0.41890441894531705
2908,28.711,1014.3,55.829,4.1668,25.861,1091.7,550.17,133.25,12.133,1.8569,67.216,132.60475,133.25,-0.6452484130859375
2909,28.634,1013.9,57.36,4.2001,25.977,1092.6,549.66,133.83,12.151,1.5179,66.834,133.15094,133.83,-0.6790600585937625
2910,28.147,1013.7,57.099,4.2017,25.95,1093.2,549.59,133.85,12.168,1.2164,67.632,133.53232,133.85,-0.3176818847656193
2911,27.995,1013.6,53.732,4.1931,25.962,1093.2,549.92,133.83,12.186,1.4303,69.503,133.53929,133.83,-0.290708618164075
2912,27.499,1013.7,56.588,4.1688,26.017,1093.3,550.02,134.53,12.233,1.3317,67.885,133.72458,134.53,-0.8054211425781261
2913,26.197,1013.6,62.904,3.8932,24.208,1083.2,550.06,127.63,11.736,1.6549,63.032,127.327446,127.63,-0.3025540161132767
2914,24.525,1013.6,69.931,3.563,22.13,1070.5,549.93,119.49,11.159,2.5473,58.466,118.69775,119.49,-0.7922537231445261
2915,23.152,1013.8,76.801,4.0301,25.232,1089.3,549.68,133.5,12.17,0.84788,62.808,133.08678,133.5,-0.4132232666015625
2916,22.099,1014.1,82.794,4.0769,25.141,1089.1,549.83,133.82,12.104,0.37136,62.3,133.12035,133.82,-0.6996539306640557
2917,21.397,1013.8,88.017,4.1316,25.055,1088.7,550.04,133.45,12.057,0.36392,63.958,132.98451,133.45,-0.46548767089842613
2918,20.926,1013.3,90.231,3.4731,20.011,1058.9,550.01,111.72,10.697,3.7534,56.988,111.47637,111.72,-0.2436282348632801
2919,20.16,1012.9,91.63,3.5161,19.65,1056.9,549.97,110.78,10.507,4.1924,56.647,110.23228,110.78,-0.5477230834960949
2920,19.822,1012.5,93.894,3.5586,19.574,1056.3,549.88,110.43,10.494,4.4839,56.999,109.985374,110.43,-0.44462554931641307
2921,19.654,1012.1,94.817,3.579,19.732,1056.9,549.91,110.81,10.499,3.8824,56.575,110.52258,110.81,-0.2874169921875023
2922,19.985,1011.9,94.66,3.5306,19.811,1057.2,550.19,110.81,10.504,3.9321,56.637,110.56268,110.81,-0.24731689453125227
